"created_at","text"
"Fri Nov 13 23:15:29 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 21:15:01 +0000 2015","Paying #ATT #Uverse for 18 meg download speed. Currently receiving 1.58 megs. #ATTSUCKS #UverseSUCKS https://t.co/05XFsPYVFa"
"Fri Nov 13 19:31:06 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/y2WPNVTH11 #Android"
"Fri Nov 13 21:01:46 +0000 2015","#foodphoto #food #chef #dish #foodeat #foodinlove #cook Spice Cookie Sandwiches with Chocolate FillingsourceMore ca… https://t.co/Ih9vOo8Ye4"
"Fri Nov 13 22:41:21 +0000 2015","My self-install kit still hasn't arrived and I can't get ahold of customer service. Help??? @comcastcares"
"Fri Nov 13 18:08:55 +0000 2015",".#Hulu stake for Time Warner? https://t.co/luJ2MgbaS2"
"Sat Nov 14 00:25:24 +0000 2015","@dish Oh how I miss you and the Hopper! If I could come back, I would!"
"Fri Nov 13 23:31:13 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/PM33PhddB9"
"Sat Nov 14 01:31:22 +0000 2015","Bills QB tytaylor at the @raptors game #BillsMafia #RTZ #Raptors #Tmobile @ Air Canada Centre https://t.co/4FTpVJB0jN"
"Fri Nov 13 18:33:39 +0000 2015","@JohnLegere @verizon @DavidGoldmanCNN better than the 35.00 activation fee, not really."
"Fri Nov 13 22:14:47 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Sat Nov 14 00:46:19 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 21:01:05 +0000 2015","Thankful for @Comcast support for here and across the @CityYear network! https://t.co/CnVPMm7D42"
"Fri Nov 13 21:52:01 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Sat Nov 14 00:39:30 +0000 2015","@ATT @ATTCares I cashed ATT told them I drop calls 3-4 times a day. Their answer. Buy a micro-cell. Really? I spend $$ to fix your problem?"
"Sat Nov 14 00:48:59 +0000 2015","RT @TreMelvin: @VZWSupport me sneaking into verizon headquarters to lower my bill https://t.co/Pnn5mCbTmz"
"Fri Nov 13 19:25:54 +0000 2015","@VZWSupport why is it I ask various employs if there'll be a charge on my plan, get told no, and a day later there's an increase on my bill."
"Fri Nov 13 22:08:38 +0000 2015","@ATTCares sorry fan, can't get none internet connection"
"Sat Nov 14 01:58:01 +0000 2015","Thank you @TMobileHelp for fixing my issue earlier. @JohnLegere A+ support team!"
"Fri Nov 13 22:44:58 +0000 2015","@DIRECTV @VZWSupport @verizon @VerizonSupport 4.5 HRS,PHONE  #INCOMPETENT #VERIZON  VERIZON #HUNG #UP AM TEXTED PM?#NO GENIE. #COMCAST #WIFI"
"Fri Nov 13 22:08:23 +0000 2015","Did not know @hulu had my favorite tv show! ? https://t.co/Ys0RYZFrgJ"
"Fri Nov 13 18:52:56 +0000 2015","RT @JohnLegere: .@Verizon follows our lead to get rid of 2yr service contracts but then F*&amp;^s it up with an activation fee. COME ON! https:…"
"Fri Nov 13 19:55:57 +0000 2015","I'm watching my favorite TV shows on #hulu. Join me today and get 2 weeks free! https://t.co/e46mawYez3"
"Fri Nov 13 21:28:46 +0000 2015","@TMobileHelp cool. Thanx for the quick response! ?"
"Fri Nov 13 19:01:29 +0000 2015","@TMobileHelp just looking at my account and it tells me owe $1000. Gotta discuss this ASAP because I don't believe this is true."
"Fri Nov 13 23:00:53 +0000 2015","@gogogadgetguy @ATTCares @ATT did they up your data"
"Fri Nov 13 18:08:32 +0000 2015","RT @TheAMAs: Tap ""Where Are Ü Now"" to vote @justinbieber @diplo &amp; @skrillex for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.…"
"Sat Nov 14 01:20:42 +0000 2015","No lie! I just spent an hr arguing how the ""quote"" given to me doesn't match mybill for the 3rd time @Uverse #cancel https://t.co/Ot7Fhf0Mwe"
"Sat Nov 14 01:38:25 +0000 2015","@TMobileHelp @TMobile say they will call you. Waiting more than 30 minutes now. More lies #tmobilesucks"
"Fri Nov 13 19:36:16 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/mRWz0PqK8g #Android"
"Fri Nov 13 22:36:16 +0000 2015","AT&amp;T; #Retail #Sales Consultant Silicon Valley Area CA 1000 Sign on Bonus in #PaloAlto at #ATT #job https://t.co/L5n4WmoETW"
"Sat Nov 14 00:12:02 +0000 2015","RT @Academychs: Academy Juniors are dressed for success at the #comcast job shadow in Livermore. https://t.co/3RjLsYE4il"
"Fri Nov 13 19:37:22 +0000 2015","RT @Katie_King4: There's not a company I hate more than @comcast worst customer service ?"
"Fri Nov 13 22:47:01 +0000 2015","@TMobileHelp problem solved!  Looking forward to all the data, music and video a family can handle!!!"
"Fri Nov 13 22:30:54 +0000 2015","no internet TV phone $15 credit for hour without service. an outage, no info, no time for repair maybe 24hrs. no credit more #ATTCARES"
"Fri Nov 13 23:30:58 +0000 2015","RT @MarisaMendez: You have the absolute worst service of any company I have EVER dealt with. I can't believe how incompetent your employees…"
"Fri Nov 13 23:10:09 +0000 2015","@TMobileHelp I tweeted first then they told me I WILL NOT loose my employer discount so I called 611 but they told me I WILL LOOSE IT"
"Sat Nov 14 01:57:20 +0000 2015","""I don't have friends... I have only slaves!"" Rewatching #DetroitMetalCity on #hulu, I can't even believe it's available on here! ???"
"Fri Nov 13 22:40:07 +0000 2015","Watch @Brittanysnow #cjwilson @ijustine @LilJon @SamRichardson @Zedd @DexterFowler #UncarrierX #TMobile #EventRecap https://t.co/sh1AmuwFnH"
"Fri Nov 13 22:29:51 +0000 2015","@VerizonSupport this is a home system."
"Fri Nov 13 18:53:05 +0000 2015","@TheAMAs @TMobile @wizkhalifa @charlieputh    we need Jesus"
"Fri Nov 13 19:32:08 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/QBwX8m4mqr #Android"
"Fri Nov 13 19:00:58 +0000 2015","@Comcast is doing some great work to bridge #digitaldivide thru its #InternetEssentials program for low-income families. @DLCohenComcast"
"Fri Nov 13 22:17:20 +0000 2015","So I just heard someone yell ""I NEED MORE DATA"" it made me so glad I have #tmobile they have #unlimited #data"
"Sat Nov 14 01:38:33 +0000 2015","What the hell @verizon!? If the Lumia 950 and 950 XL won’t work on #Verizon, that’s not Microsoft’s fault https://t.co/zrDlpoSxdg #lumina950"
"Fri Nov 13 20:11:36 +0000 2015","@VZWSupport several times, also reset the SIM, toggled wifi, mobile data and airplane mode a few times. Doesn't work reliably inside or out."
"Fri Nov 13 18:52:49 +0000 2015","RT @ItsSkylerShaye: Rocking out to @zedd - Thank you @tmobile for a great night! @nathaliaramos73 #uncarrierx https://t.co/QJMNTMJEAP"
"Fri Nov 13 21:43:12 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 20:06:46 +0000 2015","@26Point_2Miles @comcastcares yeah that's what I'm starting to think. Really just need it for the internet, but there are ways around that."
"Fri Nov 13 23:03:19 +0000 2015","@ATTCares Showed up after 4, left without saying anything, &amp; still no connection. This gets worse. You're a shambles!!"
"Fri Nov 13 21:37:24 +0000 2015","RT @kclipp11: @ALCATEL1TOUCH dropping knowledge to my new hire class #GDCVA #MLC #13thClass #BeMagenta @TMobile @tglover187 https://t.co/nZ…"
"Fri Nov 13 19:44:45 +0000 2015","RT @_NewsBlog: Carriers vs Uncarrier- US #Wireless War N°2 https://t.co/c47N407dDJ #mobile #TMobile #Sprint #Verizon #ATT https://t.co/oQsf…"
"Fri Nov 13 18:55:26 +0000 2015","@Tigerstown_xda @jasondfry @JohnLegere @verizon No one gets true Unlimited. Look at the fine print - after 23GB you get throttled."
"Fri Nov 13 21:50:08 +0000 2015","@ATTCares Would be nice to help me get my iMessage working . It has worked in 2weeks and I haven't even been with y'all for a month"
"Sat Nov 14 01:30:16 +0000 2015","After being frustrated I have to say how great @VZWSupport is! They really provided excellent customer service today! Thanks #Verizon"
"Fri Nov 13 19:43:04 +0000 2015","US largest cable-co @comcast seen offering service like #GoogleF¡ https://t.co/G0b9UuczCn"
"Fri Nov 13 21:07:51 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/tPzjKWAoym"
"Fri Nov 13 18:09:47 +0000 2015","RT @tragic_heroine: @AyeDeeJaye @ATTCares you giving her a phone fam? What can you do for me bc sprint tripping with the monthly cost for t…"
"Sat Nov 14 00:29:39 +0000 2015","@TMobile why is coverage in Seattle so terrible? I like the customer service but almost never have 4G LTE. What is being done about it?"
"Sat Nov 14 01:57:42 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE… https://t.co/Nup0Yy5JLs #Android https://t.co/aBO9Jd66NV"
"Fri Nov 13 23:59:02 +0000 2015","Why's my phone saying no service? @ATT"
"Fri Nov 13 22:03:09 +0000 2015","I just entered to win the new #HTCOneA9 @ATT"
"Fri Nov 13 22:37:45 +0000 2015","@VZWSupport - FOLLOWERS- I spent all day messaging these idiots &amp; they still screwed everything up."
"Sat Nov 14 01:53:39 +0000 2015","The only reason I've been baring with @VerizonSupport skyrocketing prices for years is the reliable coverage. Now it's gone &amp; I'm switching"
"Fri Nov 13 20:14:29 +0000 2015","RT @Sanja_VJ: @ssssunnnyyyy @Bluebellishome @TVtibi @hulu @netflix @Netflixhelps @hulu_support @YahooTV @Yahoo @YahooScreen #SaveHartOfDixi…"
"Fri Nov 13 18:51:48 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/acC8yUrDjQ"
